SR NO,UID,PLAYER NAME,JOIN DATE,METHOD,RANK,STATUS,DEAFULT SCYN,REASON,LEAVE DATE,KICKED SCORE,KICKED STATUS,LAST TOTAL POINTS,CURRENT TOTAL POINTS,THIS WEEK WAR TOTAL POINTS,LAST WEEK WAR TOTAL POINTS,POINTS,WAR POINTS,REQUEST FOR TEMPORARY BREAK,CHANGE NAME,GUILDMATES FRIEND,TOTAL DAYS,MIN POINTS,POINTS LIMIT
45,4128128409,PSD❤️KORA,Apr-5-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Jun-17-2024,1,YOU CAN JOIN TODAY,3726,3726,10,10,O,0,NO,,,73,2920,10000
46,8190951034,N01011D8A51F,Apr-6-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-10-2024,1,YOU CAN JOIN TODAY,180,180,0,0,O,0,NO,,,4,160,10000
47,3786059790,PANIDRA44200,Apr-7-2024,INVITE BY KING4R105,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-14-2024,1,YOU CAN JOIN TODAY,1817,1817,0,0,O,0,NO,,,7,280,10000
48,4121611536,TS ARJUN,Apr-8-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINTS 2 DAY OFFLINE,Apr-11-2024,1,YOU CAN JOIN TODAY,40,40,0,0,O,0,NO,,,3,120,10000
49,1622784378,NG HACTOR,Apr-8-2024,INVITE BY NOBITA FF,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-20-2024,1,YOU CAN JOIN TODAY,1306,1306,0,0,O,0,NO,,,12,480,10000
50,2485976476,DMN BADSHA,Jul-16-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Nov-10-2024,2,YOU CAN JOIN JOIN AFTER 1 HR,716,716,44,44,O,0,NO,NO,YES,117,4680,10000
51,6634466196,CSWPAPA65,Apr-23-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,May-18-2024,10,YOU ARE BAN FROM GUILD,490,490,0,0,O,0,NO,,,25,1000,10000
52,1053587778,PRANEETH 16,Apr-11-2024,INVITE BY NS ROCKEY,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-12-2024,1,YOU CAN JOIN TODAY,,,0,0,O,0,NO,,,1,40,10000
53,2468450435,PLAYER NAME NOT READABLE,Apr-17-2024,INVITE BY NS ROCKEY,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,2,YOU CAN JOIN JOIN AFTER 1 HR,382,382,0,0,O,0,NO,,,12,480,10000
54,6533508159,Devanshu,Apr-11-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-13-2024,1,YOU CAN JOIN TODAY,50,50,0,0,O,0,NO,,,2,80,10000
55,4850543942,RAOWAFAQ2801W,Apr-11-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT 2 DAY OFFLINE,May-13-2024,2,YOU CAN JOIN JOIN AFTER 1 HR,1020,1020,0,0,O,0,NO,,,32,1280,10000
56,3549216345,S DEEPAK,Apr-12-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-22-2024,1,YOU CAN JOIN TODAY,270,270,0,0,O,0,NO,,,10,400,10000
57,4336789975,$SWAMI YT,Apr-12-2024,INVITE BY NS ROCKEY,MEMBER,KICKED,FF,2 DAY OFFLINE LOW POINT,Apr-16-2024,1,YOU CAN JOIN TODAY,10,10,0,0,O,0,NO,,,4,160,10000
58,3201769217,DM DANGER,Apr-16-2024,GUILD PROMOTION,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,1,YOU CAN JOIN TODAY,160,160,0,0,O,0,NO,,,13,520,10000
59,1890963600,SK CHOTU,Apr-16-2024,GUILD PROMOTION,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,1,YOU CAN JOIN TODAY,40,40,0,0,O,0,NO,,,13,520,10000
60,2859178260,RISAV 99FF,Apr-16-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-19-2024,1,YOU CAN JOIN TODAY,60,60,0,0,O,0,NO,,,3,120,10000
61,1682625893,SCARY DAD,Apr-16-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-21-2024,1,YOU CAN JOIN TODAY,130,130,0,0,O,0,NO,,,5,200,10000
62,3080730642,MAFIYA,Apr-16-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-17-2024,1,YOU CAN JOIN TODAY,,,0,0,O,0,NO,,,1,40,10000
63,3090116325,RAJ GAMING,Apr-16-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-21-2024,1,YOU CAN JOIN TODAY,190,190,0,0,O,0,NO,,,5,200,10000
64,3000133259,VISHU BHAI,May-27-2024,INVITE BY EVIL YT,MEMBER,KICKED,FF,LEFT THE GUILD,Nov-12-2024,7,YOU HAVE ONLY 3 CHANCE TO IMPROVEMENT,14023,14023,143,143,O,0,NO,NO,YES,169,6760,10000
65,2042272441,552 JII,Apr-17-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,1,YOU CAN JOIN TODAY,,,0,0,O,0,NO,,,12,480,10000
66,6732688341,N0D9B622BEF7,Apr-17-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-18-2024,1,YOU CAN JOIN TODAY,,,0,0,O,0,NO,,,1,40,10000
67,1825797836,DAKSHHY2748Y,Apr-17-2024,PROFILE,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-30-2024,1,YOU CAN JOIN TODAY,450,450,0,0,O,0,NO,,,13,520,10000
68,2042814090,THALA KING,Apr-17-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,1,YOU CAN JOIN TODAY,140,140,0,0,O,0,NO,,,12,480,10000
69,2007554176,ROCKYAM454V,Apr-17-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,May-21-2024,1,YOU CAN JOIN TODAY,1090,1090,0,0,O,0,NO,,,34,1360,10000
70,1089841643,AUUSH,Apr-17-2024,INVITE BY NS ROCKEY,MEMBER,KICKED,FF,0 POINTS AND 8 DAY OFFLINE,Apr-27-2024,1,YOU CAN JOIN TODAY,60,60,0,0,O,0,NO,,,10,400,10000
71,8300737992,1LOVEYOU.A.S,Apr-17-2024,INVITE BY EVIL YT,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-20-2024,1,YOU CAN JOIN TODAY,70,70,0,0,O,0,NO,,,3,120,10000
72,5211370530,OP NOOBGENG,Apr-17-2024,RECOMMENDED,MEMBER,IN GUILD,FF,,,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,47005,47005,4,4,O,0,NO,NO,,333,13320,10000
73,799108902,ALPESH 99,Apr-18-2024,RECOMMENDED,MEMBER,KICKED,FF,6 DAY OFLINE 0 POINT,Apr-27-2024,1,YOU CAN JOIN TODAY,40,40,0,0,O,0,NO,,,9,360,10000
74,2250793013,RAHULKI1647T,Apr-18-2024,RECOMMENDED,MEMBER,KICKED,FF,5 DAYS OFLINE,Jun-14-2024,5,YOU REACHED OF YOUR 50% KICKED LIMIT,3060,3060,5,5,O,0,NO,,,57,2280,10000
75,4837838371,JEETU,Apr-30-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD (VIOLATION OF RULES),May-12-2024,10,YOU ARE BAN FROM GUILD,490,490,0,0,O,0,NO,,,12,480,10000
76,2344483412,SUNIL BHAI 7,Apr-19-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,1,YOU CAN JOIN TODAY,10,10,0,0,O,0,NO,,,10,400,10000
77,1794273670,MR KILLER,Apr-19-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-29-2024,1,YOU CAN JOIN TODAY,110,110,0,0,O,0,NO,,,10,400,10000
78,2086635791,TOXIC FF,Apr-21-2024,RECOMMENDED,MEMBER,KICKED,FF,9 DAY OFFLINE AND 0 POINTS,Apr-30-2024,1,YOU CAN JOIN TODAY,40,40,0,0,O,0,NO,,,9,360,10000
79,1849489771,DORAEMON FF,Apr-21-2024,INVITE BY NOBITA FF,MEMBER,KICKED,FF,7 DAY OFFLINE,Jun-14-2024,5,YOU REACHED OF YOUR 50% KICKED LIMIT,6690,6690,354,354,O,0,NO,NO,YES,54,2160,10000
80,556292968,BHUMIT   ⚠️,May-10-2024,INVITE BY NOBITA FF,MEMBER,KICKED,FF,LEFT THE GUILD,May-20-2024,9,YOU HAVE LAST CHANCE,1793,1793,203,203,O,0,NO,,,10,400,10000
81,2428790906,EAGLE DIP,Jun-10-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Jul-10-2024,9,YOU HAVE LAST CHANCE,2887,2887,103,103,O,0,NO,NO,YES,30,1200,10000
82,2312039269,AAT GABUR,Apr-22-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-24-2024,10,YOU ARE BAN FROM GUILD,40,40,0,0,O,0,NO,,,2,80,10000
83,3148829092,KILLR BHAP,Apr-23-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,May-20-2024,1,YOU CAN JOIN TODAY,580,580,0,0,O,0,NO,,,27,1080,10000
84,6382619977,PREM_8696,Apr-23-2024,PROFILE,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-25-2024,1,YOU CAN JOIN TODAY,,,0,0,O,0,NO,,,2,80,10000
85,7836795430,SANU04,Apr-24-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,May-5-2024,4,YOU CAN JOIN AFTER 1 DAY,300,300,0,0,O,0,NO,,,11,440,10000
